state,year,ev_registrations,total_vehicles,ev_share_percent,stations,total_charging_outlets,level_1,level_2,dc_fast,fuel_economy,incentives,population_20_64,education_bachelor,labour_force_participation_rate,unemployment_rate,bachelor_attainment,per_cap_income,affectweather,devharm,discuss,exp,localofficials,personal,reducetax,regulate,worried,price_cents_per_kwh,gasoline_price_per_gallon,party
California,2022,903600,36119800,2.5,14609,43589,559,34366,8634,28.47,148,23347658,7860522,78.4,5,33.67,46661,67.47,73.07,41.65,52.43,59.01,51.98,70.47,75.79,70.42,22.33,4.575,Democratic
California,2023,1256600,36850300,3.41,16381,49433,648,38217,10548,26.3,151,23173030,7978166,79.2,5.2,34.43,48013,68.39,72.79,42.73,52.83,60.48,53.19,72.08,76.3,71.24,24.87,4.731,Democratic
Colorado,2018,12500,5131900,0.24,707,1788,78,1499,211,54,79,3466554,1309553,81.5,3.5,37.78,38057,62.72,62.15,42.43,42.64,55.85,44.97,64.59,76.03,64.69,10.02,2.579,Democratic
Colorado,2019,19200,5249400,0.37,861,2516,72,2195,249,32.96,81,3509903,1364304,81.7,3.3,38.87,41053,60.98,62.32,42.16,40.11,54.56,42.84,62.86,71.95,62.57,10.17,2.639,Democratic
Colorado,2020,24700,5193000,0.48,1066,3253,76,2742,435,30.63,82,3523819,1404598,81.8,4.15,39.855,42835,65.73,65.15,40.65,42.94,51.26,41.39,64.32,72.76,64.57,10.27,2.675,Democratic
Colorado,2021,37000,5286400,0.7,1619,3992,89,3320,583,28.52,92,3537735,1444892,81.8,5,40.84,44617,67.09,69.03,40.05,46.6,57.07,46.4,62.76,71.71,65.98,10.9,2.863,Democratic
Colorado,2022,59900,5387100,1.11,1787,4408,90,3585,733,28.47,93,3564038,1492924,83,3.1,41.89,49071,66.44,69.3,40.76,46.69,54.46,45.42,64.98,74.12,65.75,11.75,3.049,Democratic
Colorado,2023,90100,5441800,1.66,2165,5432,90,4414,928,26.3,97,3569927,1512640,83.4,3.4,42.37,51768,67.94,69.2,41.85,46.94,56.37,46.66,66.86,74.75,67.15,11.76,3.152,Democratic
Connecticut,2018,5000,2971400,0.17,383,837,37,670,129,54,34,2120095,780847,81.2,5.1,36.83,44026,67.25,65.75,40.8,47.78,60.88,45.81,73.35,81.03,68.8,18.41,2.489,Democratic
Connecticut,2019,6900,2972700,0.23,422,1048,76,814,157,32.96,34,2107327,779167,81.4,5,36.97,45359,64.24,65.96,41.13,42.96,58.21,43.77,72.49,77.23,68.35,18.66,2.547,Democratic
Connecticut,2020,9000,2922800,0.31,456,1240,70,926,242,30.63,34,2116002,807352,81.2,5.65,38.15,46752.5,68.89,68.62,39.64,44.58,53.97,44.06,72.38,77.03,69.66,19.13,2.582,Democratic
Connecticut,2021,13300,2872000,0.46,533,1430,76,1040,312,28.52,41,2124677,835536,81,6.3,39.33,48146,69.9,72.09,38.32,48.61,59.81,48.3,70.76,75.65,69.66,18.32,2.763,Democratic
Connecticut,2022,22000,2951300,0.75,598,1643,67,1225,349,28.47,43,2124983,824424,81.4,4.4,38.8,51581,67.24,71.02,37.87,47.75,57.02,46.15,70.72,77.34,67.89,21.08,2.943,Democratic
Connecticut,2023,31600,2945700,1.07,865,2547,64,2065,417,26.3,44,2102108,849843,82.7,4.3,40.43,53119,68.82,70.97,39.13,47.45,58.01,47,72.51,77.92,69.1,24.24,3.043,Democratic
Delaware,2018,800,878600,0.09,50,133,2,80,51,54,23,558497,157678,77.3,5.3,28.23,33745,61.38,62.7,36.64,43.66,60.27,45.4,67.87,78.33,63.38,10.55,2.425,Democratic
